claim_id,record_id,field,exact_claim,claim_category,source_id,locator,evidence_status,documentary_status,measurement_status,design_status,uncertainty,reviewer,proposed_action
W1-C0261,behzad-miniature-c1,historicalContextFa,ردای قهرمانان در نگاره‌های خمسه‌ی نظامی و ظفرنامه تیموری بهزاد,cultural-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,uncited,W1-sequential-AI-review,cite or remove
W1-C0262,behzad-miniature-c1,artMovement,مکتب هرات (دوره تیموری) و نگارگری کمال‌الدین بهزاد,art-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,uncited attribution,W1-sequential-AI-review,cite
W1-C0263,behzad-miniature-c1,chemical.molarMass (raw; dropped by normaliser),232.66 g/mol,chemistry-arithmetic,S005;S006,molar-mass-check.out.tsv,supported,arithmetic-check,not-applicable,not-applicable,recomputed 232.66 (arithmetic consistency only; not evidence the material is present),W1-sequential-AI-review,drop from source data (already excluded from normalised output)
W1-C0264,behzad-miniature-c2,hex,#0BDA51,color-value,S002,"S002 ""Malachite""",designer-choice,exact-match-in-modern-color-list,none-on-record (measuredSpectra=0),designer-choice,HEX identical to a modern named-color list entry; suggests digital-list origin rather than material measurement,W1-sequential-AI-review,"label as designer choice; if derived from a named-color list, say so"
W1-C0265,behzad-miniature-c2,nameEn,Malachite Green,naming,S002,"S002 ""Malachite""",illustrative,pair-found-in-modern-list,not-applicable,designer-choice,modern list entry is not evidence of historical use,W1-sequential-AI-review,keep as label; avoid implying historical name
W1-C0266,behzad-miniature-c2,nameFa,سبز زنگار مالاکیت (Malachite Green),naming,none,-,illustrative,evocative-label,not-applicable,designer-choice,label only,W1-sequential-AI-review,none
W1-C0267,behzad-miniature-c2,meaningFa,پودر کانی مالاکیت و اکسید مس در نگارگری ایرانی,cultural-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,cultural/material assertion with no citation,W1-sequential-AI-review,hedge or cite
W1-C0268,behzad-miniature-c2,mineralogical.mineralName,Basic Copper Carbonate,material,none-opened,heritage-data.ts behzad-miniature-c2.evidence.mineralogical,unverified,not-checked,no-analysis-on-record,not-applicable,material attribution uncited,W1-sequential-AI-review,cite analysis or mark as inspiration
W1-C0269,behzad-miniature-c2,mineralogical.chemicalFormula,Cu₂CO₃(OH)₂,chemistry,S004,RRUFF_Export.csv row by mineral name,supported,checked-against-S004,no-analysis-on-record,not-applicable,S004 malachite Cu2CO3(OH)2,W1-sequential-AI-review,"keep formula but label as reference formula of the named material, not an analysis of this colour"
W1-C0270,behzad-miniature-c2,mineralogical.casNumber,12069-69-1,chemistry-identifier,S005,CAS 12069-69-1,supported,checked-against-S005,not-applicable,not-applicable,"S005: basic copper carbonate CH2Cu2O5, CID 25503",W1-sequential-AI-review,keep
W1-C0271,behzad-miniature-c2,mineralogical.historicalManuscriptRef,رسالات کهن رنگرزی سنتی و صنعتی ایران زمین,documentary-reference,none-opened,no page/folio/edition given,unverified,placeholder,not-applicable,not-applicable,"placeholder phrase (""old treatises of Iranian dyeing""): no identifiable work",W1-sequential-AI-review,remove placeholder
W1-C0272,behzad-miniature-c2,mineralogical.traditionalExtraction,استخراج سنتی از منابع گیاهی و معدنی ایران بر اساس رسالات خطی تذهیب و رنگرزی,craft-process,none-opened,-,unverified,placeholder,not-applicable,not-applicable,template sentence repeated for 60 records,W1-sequential-AI-review,cite or remove
W1-C0273,behzad-miniature-c2,mineralogical.crystalSystem,کریستالین بومی فلات ایران,mineralogy,S007,-,contradicted,type-error,not-applicable,not-applicable,value is not a crystal system (type error),W1-sequential-AI-review,remove or use a real crystal system
W1-C0274,behzad-miniature-c2,geoSpatial.originSite,Iranian Plateau Heritage Sites | فلات ایران، مراکز سنتی هنر و معماری,geography,none-opened,-,unverified,placeholder,not-applicable,not-applicable,non-specific placeholder site,W1-sequential-AI-review,name a specific site or remove
W1-C0275,behzad-miniature-c2,geoSpatial.coordinates,"32.9279,53.988,1400",geography,S007,analyze-data.out.json syntheticPlateauPattern,contradicted,synthetic-value,not-applicable,not-applicable,"synthetic: lat = 32.4279 + 0.5*i, lng = 53.688 + 0.3*i, alt 1400; the same six points are reused by 10 palettes regardless of region (Gulf, Caspian, Khorasan, Shiraz); conflicting legacy geo 38.08,46.2919 is 901.37 km away",W1-sequential-AI-review,remove or replace with sourced coordinates
W1-C0276,behzad-miniature-c2,geoSpatial.unescoHeritageRef,ثبت میراث فرهنگی ملموس و ناملموس یونسکو,heritage-designation,none-opened,-,unverified,placeholder,not-applicable,not-applicable,non-specific or not checkable,W1-sequential-AI-review,remove generic UNESCO wording
W1-C0277,behzad-miniature-c2,geo (legacy alternative) latitude/longitude + unescoSiteId,"معادن مس آذربایجان و کارگاه‌های تبریز دوم | 38.08,46.2919,1360 | Tabriz Historic Bazaar Complex",geography,S003,ref_no 1346,partially-supported,checked-against-S003,not-applicable,not-applicable,0.18 km from WHC 1346 (Tabriz Historic Bazaar Complex) reference point; retained as unresolved conflict by palettes.ts,W1-sequential-AI-review,resolve conflict with a cited source
W1-C0278,behzad-miniature-c2,spectral.peakWavelengthNm,551 nm (dominant 551 nm),spectral,S007,palettes.ts provenance.spectralStatus,illustrative,not-applicable,not-measured (measuredSpectra=0),not-applicable,peak equals dominant wavelength (template),W1-sequential-AI-review,keep labelled illustrative
W1-C0279,behzad-miniature-c2,historicalContextFa,تپه‌ها، صخره‌های مینیاتورهای شاهنامه طهماسبی و شاخساران نگاره‌ها,cultural-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,uncited,W1-sequential-AI-review,cite or remove
W1-C0280,behzad-miniature-c2,artMovement,مکتب تبریز دوم (صفوی),art-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,uncited attribution,W1-sequential-AI-review,cite
W1-C0281,behzad-miniature-c2,chemical.molarMass (raw; dropped by normaliser),221.12 g/mol,chemistry-arithmetic,S005;S006,molar-mass-check.out.tsv,supported,arithmetic-check,not-applicable,not-applicable,recomputed 221.12 (arithmetic consistency only; not evidence the material is present),W1-sequential-AI-review,drop from source data (already excluded from normalised output)
W1-C0282,behzad-miniature-c3,hex,#1B263B,color-value,S001;S002,no exact match in S001 or S002,designer-choice,no-modern-list-match,none-on-record (measuredSpectra=0),designer-choice,origin of value undocumented,W1-sequential-AI-review,"label as designer choice; if derived from a named-color list, say so"
W1-C0283,behzad-miniature-c3,nameEn,Night Sky Miniature Navy,naming,none,-,illustrative,evocative-label,not-applicable,designer-choice,label only,W1-sequential-AI-review,keep as label; avoid implying historical name
W1-C0284,behzad-miniature-c3,nameFa,سرمه‌ای شبرنگ نگار,naming,none,-,illustrative,evocative-label,not-applicable,designer-choice,label only,W1-sequential-AI-review,none
W1-C0285,behzad-miniature-c3,meaningFa,سرمه‌ای لاجوردی شب‌های وصال در خمسه‌نگاری,cultural-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,cultural/material assertion with no citation,W1-sequential-AI-review,hedge or cite
W1-C0286,behzad-miniature-c3,mineralogical.mineralName,Indigotin & Lazurite Complex,material,none-opened,heritage-data.ts behzad-miniature-c3.evidence.mineralogical,unverified,not-checked,no-analysis-on-record,not-applicable,material attribution uncited,W1-sequential-AI-review,cite analysis or mark as inspiration
W1-C0287,behzad-miniature-c3,mineralogical.chemicalFormula,C₁₆H₁₀N₂O₂ + Na₆Ca₂[S|AlSiO₄]₆,chemistry,S005,chemicals.identifiers.search_chemical,partially-supported,checked-against-S005,no-analysis-on-record,not-applicable,indigo part matches S005; lazurite notation as in isfahan-tiles-c1,W1-sequential-AI-review,correct or remove
W1-C0288,behzad-miniature-c3,mineralogical.casNumber,482-89-3,chemistry-identifier,S005,CAS 482-89-3,partially-supported,checked-against-S005,not-applicable,not-applicable,"S005: indigo C16H10N2O2 (CID 5318432); the record's formula also contains lazurite, which this CAS does not identify",W1-sequential-AI-review,remove or replace with the CAS RN of the named substance
W1-C0289,behzad-miniature-c3,mineralogical.historicalManuscriptRef,رسالات کهن رنگرزی سنتی و صنعتی ایران زمین,documentary-reference,none-opened,no page/folio/edition given,unverified,placeholder,not-applicable,not-applicable,"placeholder phrase (""old treatises of Iranian dyeing""): no identifiable work",W1-sequential-AI-review,remove placeholder
W1-C0290,behzad-miniature-c3,mineralogical.traditionalExtraction,استخراج سنتی از منابع گیاهی و معدنی ایران بر اساس رسالات خطی تذهیب و رنگرزی,craft-process,none-opened,-,unverified,placeholder,not-applicable,not-applicable,template sentence repeated for 60 records,W1-sequential-AI-review,cite or remove
W1-C0291,behzad-miniature-c3,mineralogical.crystalSystem,کریستالین بومی فلات ایران,mineralogy,S007,-,contradicted,type-error,not-applicable,not-applicable,value is not a crystal system (type error),W1-sequential-AI-review,remove or use a real crystal system
W1-C0292,behzad-miniature-c3,geoSpatial.originSite,Iranian Plateau Heritage Sites | فلات ایران، مراکز سنتی هنر و معماری,geography,none-opened,-,unverified,placeholder,not-applicable,not-applicable,non-specific placeholder site,W1-sequential-AI-review,name a specific site or remove
W1-C0293,behzad-miniature-c3,geoSpatial.coordinates,"33.4279,54.288000000000004,1400",geography,S007,analyze-data.out.json syntheticPlateauPattern,contradicted,synthetic-value,not-applicable,not-applicable,"synthetic: lat = 32.4279 + 0.5*i, lng = 53.688 + 0.3*i, alt 1400; the same six points are reused by 10 palettes regardless of region (Gulf, Caspian, Khorasan, Shiraz); conflicting legacy geo 34.329,62.193 is 736.41 km away",W1-sequential-AI-review,remove or replace with sourced coordinates
W1-C0294,behzad-miniature-c3,geoSpatial.unescoHeritageRef,ثبت میراث فرهنگی ملموس و ناملموس یونسکو,heritage-designation,none-opened,-,unverified,placeholder,not-applicable,not-applicable,non-specific or not checkable,W1-sequential-AI-review,remove generic UNESCO wording
W1-C0295,behzad-miniature-c3,geo (legacy alternative) latitude/longitude + unescoSiteId,"کتابخانه سلطنتی هرات و دارالسلطنه هرات | 34.329,62.193,920 | Herat Citadel Matrix",geography,none-opened,-,unverified,not-checked,not-applicable,not-applicable,"alternative record ""Herat Citadel Matrix"" not an identifiable WHC property in S003; retained as unresolved conflict by palettes.ts",W1-sequential-AI-review,resolve conflict with a cited source
W1-C0296,behzad-miniature-c3,spectral.peakWavelengthNm,449 nm (dominant 449 nm),spectral,S007,palettes.ts provenance.spectralStatus,illustrative,not-applicable,not-measured (measuredSpectra=0),not-applicable,peak equals dominant wavelength (template),W1-sequential-AI-review,keep labelled illustrative
W1-C0297,behzad-miniature-c3,historicalContextFa,آسمان پرستاره و شب‌های عشاق در نگاره‌های خسرو و شیرین نظامی,cultural-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,uncited,W1-sequential-AI-review,cite or remove
W1-C0298,behzad-miniature-c3,artMovement,خمسه‌نگاری تیموری و مکتب بهزاد,art-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,uncited attribution,W1-sequential-AI-review,cite
W1-C0299,behzad-miniature-c3,chemical.molarMass (raw; dropped by normaliser),262.26 g/mol,chemistry-arithmetic,S005;S006,molar-mass-check.out.tsv,partially-supported,arithmetic-check,not-applicable,not-applicable,262.26 is indigo only; formula is a mixture (arithmetic consistency only; not evidence the material is present),W1-sequential-AI-review,drop from source data (already excluded from normalised output)
W1-C0300,behzad-miniature-c4,hex,#701C1C,color-value,S002,"S002 ""Persian Plum"" / ""Prune""",designer-choice,exact-match-in-modern-color-list,none-on-record (measuredSpectra=0),designer-choice,HEX identical to a modern named-color list entry; suggests digital-list origin rather than material measurement,W1-sequential-AI-review,"label as designer choice; if derived from a named-color list, say so"
W1-C0301,behzad-miniature-c4,nameEn,Persian Plum,naming,S002,"S002 ""Persian Plum"" / ""Prune""",partially-supported,pair-found-in-modern-list,not-applicable,designer-choice,modern list entry is not evidence of historical use,W1-sequential-AI-review,keep as label; avoid implying historical name
W1-C0302,behzad-miniature-c4,nameFa,شاه‌توت شاه‌عباسی (Persian Plum),naming,none,-,illustrative,evocative-label,not-applicable,designer-choice,label only,W1-sequential-AI-review,none
W1-C0303,behzad-miniature-c4,meaningFa,استاندارد جهانی عنابی ایرانی مکتب صفوی,cultural-history,S002,HEX lookup,unverified,checked-against-S002,not-applicable,not-applicable,"""world standard""; #701C1C equals ""Persian Plum"" in S002 (modern list)",W1-sequential-AI-review,hedge or cite
W1-C0304,behzad-miniature-c4,mineralogical.mineralName,Carmine Acid Complex,material,none-opened,heritage-data.ts behzad-miniature-c4.evidence.mineralogical,unverified,not-checked,no-analysis-on-record,not-applicable,material attribution uncited,W1-sequential-AI-review,cite analysis or mark as inspiration
W1-C0305,behzad-miniature-c4,mineralogical.chemicalFormula,C₂₂H₂₀O₁₃,chemistry,S005,chemicals.identifiers.search_chemical,supported,checked-against-S005,no-analysis-on-record,not-applicable,S005 carminic acid C22H20O13 (formula only),W1-sequential-AI-review,"keep formula but label as reference formula of the named material, not an analysis of this colour"
W1-C0306,behzad-miniature-c4,mineralogical.casNumber,1260-15-5,chemistry-identifier,S005;S006,CAS 1260-15-5,contradicted,checked-against-S005,not-applicable,not-applicable,fails the CAS check-digit test (computed check digit 7); S005 gives carminic acid as 1260-17-9,W1-sequential-AI-review,remove or replace with the CAS RN of the named substance
W1-C0307,behzad-miniature-c4,mineralogical.historicalManuscriptRef,رسالات کهن رنگرزی سنتی و صنعتی ایران زمین,documentary-reference,none-opened,no page/folio/edition given,unverified,placeholder,not-applicable,not-applicable,"placeholder phrase (""old treatises of Iranian dyeing""): no identifiable work",W1-sequential-AI-review,remove placeholder
W1-C0308,behzad-miniature-c4,mineralogical.traditionalExtraction,استخراج سنتی از منابع گیاهی و معدنی ایران بر اساس رسالات خطی تذهیب و رنگرزی,craft-process,none-opened,-,unverified,placeholder,not-applicable,not-applicable,template sentence repeated for 60 records,W1-sequential-AI-review,cite or remove
W1-C0309,behzad-miniature-c4,mineralogical.crystalSystem,کریستالین بومی فلات ایران,mineralogy,S007,-,contradicted,type-error,not-applicable,not-applicable,value is not a crystal system (type error),W1-sequential-AI-review,remove or use a real crystal system
W1-C0310,behzad-miniature-c4,geoSpatial.originSite,Iranian Plateau Heritage Sites | فلات ایران، مراکز سنتی هنر و معماری,geography,none-opened,-,unverified,placeholder,not-applicable,not-applicable,non-specific placeholder site,W1-sequential-AI-review,name a specific site or remove
W1-C0311,behzad-miniature-c4,geoSpatial.coordinates,"33.9279,54.588,1400",geography,S007,analyze-data.out.json syntheticPlateauPattern,contradicted,synthetic-value,not-applicable,not-applicable,"synthetic: lat = 32.4279 + 0.5*i, lng = 53.688 + 0.3*i, alt 1400; the same six points are reused by 10 palettes regardless of region (Gulf, Caspian, Khorasan, Shiraz); conflicting legacy geo 32.657,51.677 is 305.23 km away",W1-sequential-AI-review,remove or replace with sourced coordinates
W1-C0312,behzad-miniature-c4,geoSpatial.unescoHeritageRef,ثبت میراث فرهنگی ملموس و ناملموس یونسکو,heritage-designation,none-opened,-,unverified,placeholder,not-applicable,not-applicable,non-specific or not checkable,W1-sequential-AI-review,remove generic UNESCO wording
W1-C0313,behzad-miniature-c4,geo (legacy alternative) latitude/longitude + unescoSiteId,"کارگاه‌های صباغی و نگارگری اصفهان صفوی | 32.657,51.677,1574 | UNESCO Ref: 115",geography,S003,ref_no 115,partially-supported,checked-against-S003,not-applicable,not-applicable,"0.09 km from WHC 115 (Meidan Emam, Esfahan) reference point; retained as unresolved conflict by palettes.ts",W1-sequential-AI-review,resolve conflict with a cited source
W1-C0314,behzad-miniature-c4,spectral.peakWavelengthNm,626 nm (dominant 626 nm),spectral,S007,palettes.ts provenance.spectralStatus,illustrative,not-applicable,not-measured (measuredSpectra=0),not-applicable,peak equals dominant wavelength (template),W1-sequential-AI-review,keep labelled illustrative
W1-C0315,behzad-miniature-c4,historicalContextFa,لباده‌های فاخر شاهان و درباریان در مجالس بزم و بارعام صفوی,cultural-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,Safavid Isfahan/Reza Abbasi context inside a Behzad (Timurid Herat) palette,W1-sequential-AI-review,cite or remove
W1-C0316,behzad-miniature-c4,artMovement,مکتب اصفهان صفوی و نگاره‌های رضا عباسی,art-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,uncited attribution,W1-sequential-AI-review,cite
W1-C0317,behzad-miniature-c4,chemical.molarMass (raw; dropped by normaliser),492.39 g/mol,chemistry-arithmetic,S005;S006,molar-mass-check.out.tsv,supported,arithmetic-check,not-applicable,not-applicable,recomputed 492.39 (arithmetic consistency only; not evidence the material is present),W1-sequential-AI-review,drop from source data (already excluded from normalised output)
W1-C0318,behzad-miniature-c5,hex,#F6BD60,color-value,S001;S002,no exact match in S001 or S002,designer-choice,no-modern-list-match,none-on-record (measuredSpectra=0),designer-choice,origin of value undocumented,W1-sequential-AI-review,"label as designer choice; if derived from a named-color list, say so"
W1-C0319,behzad-miniature-c5,nameEn,Illuminated Leaf Gold,naming,none,-,illustrative,evocative-label,not-applicable,designer-choice,label only,W1-sequential-AI-review,keep as label; avoid implying historical name
W1-C0320,behzad-miniature-c5,nameFa,طلای حل‌کاری,naming,none,-,illustrative,evocative-label,not-applicable,designer-choice,label only,W1-sequential-AI-review,none
W1-C0321,behzad-miniature-c5,meaningFa,ترکیب براده‌های طلا با صمغ عربی در تشعیر,cultural-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,cultural/material assertion with no citation,W1-sequential-AI-review,hedge or cite
W1-C0322,behzad-miniature-c5,mineralogical.mineralName,Gold & Acacia Gum Polysaccharide,material,none-opened,heritage-data.ts behzad-miniature-c5.evidence.mineralogical,unverified,not-checked,no-analysis-on-record,not-applicable,material attribution uncited,W1-sequential-AI-review,cite analysis or mark as inspiration
W1-C0323,behzad-miniature-c5,mineralogical.chemicalFormula,Au + Complex Polysaccharides,chemistry,S004,RRUFF_Export.csv row by mineral name,partially-supported,checked-against-S004,no-analysis-on-record,not-applicable,"Au matches S004 gold; ""Complex Polysaccharides"" is not a formula",W1-sequential-AI-review,correct or remove
W1-C0324,behzad-miniature-c5,mineralogical.casNumber,9000-01-5,chemistry-identifier,S005,CAS 9000-01-5,unverified,not-found-in-S005,not-applicable,not-applicable,"check digit valid; not present in S005; stated formula includes gold, which a binder CAS cannot identify",W1-sequential-AI-review,remove or replace with the CAS RN of the named substance
W1-C0325,behzad-miniature-c5,mineralogical.historicalManuscriptRef,رسالات کهن رنگرزی سنتی و صنعتی ایران زمین,documentary-reference,none-opened,no page/folio/edition given,unverified,placeholder,not-applicable,not-applicable,"placeholder phrase (""old treatises of Iranian dyeing""): no identifiable work",W1-sequential-AI-review,remove placeholder
W1-C0326,behzad-miniature-c5,mineralogical.traditionalExtraction,استخراج سنتی از منابع گیاهی و معدنی ایران بر اساس رسالات خطی تذهیب و رنگرزی,craft-process,none-opened,-,unverified,placeholder,not-applicable,not-applicable,template sentence repeated for 60 records,W1-sequential-AI-review,cite or remove
W1-C0327,behzad-miniature-c5,mineralogical.crystalSystem,کریستالین بومی فلات ایران,mineralogy,S007,-,contradicted,type-error,not-applicable,not-applicable,value is not a crystal system (type error),W1-sequential-AI-review,remove or use a real crystal system
W1-C0328,behzad-miniature-c5,geoSpatial.originSite,Iranian Plateau Heritage Sites | فلات ایران، مراکز سنتی هنر و معماری,geography,none-opened,-,unverified,placeholder,not-applicable,not-applicable,non-specific placeholder site,W1-sequential-AI-review,name a specific site or remove
W1-C0329,behzad-miniature-c5,geoSpatial.coordinates,"34.4279,54.888000000000005,1400",geography,S007,analyze-data.out.json syntheticPlateauPattern,contradicted,synthetic-value,not-applicable,not-applicable,"synthetic: lat = 32.4279 + 0.5*i, lng = 53.688 + 0.3*i, alt 1400; the same six points are reused by 10 palettes regardless of region (Gulf, Caspian, Khorasan, Shiraz); conflicting legacy geo 36.2878,59.6155 is 475.91 km away",W1-sequential-AI-review,remove or replace with sourced coordinates
W1-C0330,behzad-miniature-c5,geoSpatial.unescoHeritageRef,ثبت میراث فرهنگی ملموس و ناملموس یونسکو,heritage-designation,none-opened,-,unverified,placeholder,not-applicable,not-applicable,non-specific or not checkable,W1-sequential-AI-review,remove generic UNESCO wording
W1-C0331,behzad-miniature-c5,geo (legacy alternative) latitude/longitude + unescoSiteId,"کتابخانه آستان قدس رضوی، مشهد | 36.2878,59.6155,985 | Imam Reza Holy Shrine",geography,none-opened,-,unverified,not-checked,not-applicable,not-applicable,"alternative record ""Imam Reza Holy Shrine"" not an identifiable WHC property in S003; retained as unresolved conflict by palettes.ts",W1-sequential-AI-review,resolve conflict with a cited source
W1-C0332,behzad-miniature-c5,spectral.peakWavelengthNm,591 nm (dominant 591 nm),spectral,S007,palettes.ts provenance.spectralStatus,illustrative,not-applicable,not-measured (measuredSpectra=0),not-applicable,peak equals dominant wavelength (template),W1-sequential-AI-review,keep labelled illustrative
W1-C0333,behzad-miniature-c5,historicalContextFa,ابرهای سیمرغ چینی‌مآب و تشعیر حواشی قرآن‌ها و مرقعات نفیس,cultural-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,uncited,W1-sequential-AI-review,cite or remove
W1-C0334,behzad-miniature-c5,artMovement,تذهیب، تشعیر و کتاب‌آرایی کهن,art-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,uncited attribution,W1-sequential-AI-review,cite
W1-C0335,behzad-miniature-c5,chemical.molarMass (raw; dropped by normaliser),196.97 g/mol,chemistry-arithmetic,S005;S006,molar-mass-check.out.tsv,partially-supported,arithmetic-check,not-applicable,not-applicable,196.97 is gold only (arithmetic consistency only; not evidence the material is present),W1-sequential-AI-review,drop from source data (already excluded from normalised output)
W1-C0336,behzad-miniature-c6,hex,#FAF3E0,color-value,S001;S002,no exact match in S001 or S002,designer-choice,no-modern-list-match,none-on-record (measuredSpectra=0),designer-choice,origin of value undocumented,W1-sequential-AI-review,"label as designer choice; if derived from a named-color list, say so"
W1-C0337,behzad-miniature-c6,nameEn,Samarkand Silk Paper,naming,none,-,illustrative,evocative-label,not-applicable,designer-choice,label only,W1-sequential-AI-review,keep as label; avoid implying historical name
W1-C0338,behzad-miniature-c6,nameFa,کاغذ سمرقندی,naming,none,-,illustrative,evocative-label,not-applicable,designer-choice,label only,W1-sequential-AI-review,none
W1-C0339,behzad-miniature-c6,meaningFa,کاغذ دست‌ساز کتان و ابریشم صیقل‌خورده با عقیق,cultural-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,cultural/material assertion with no citation,W1-sequential-AI-review,hedge or cite
W1-C0340,behzad-miniature-c6,mineralogical.mineralName,Cellulose & Amylose Matrix,material,none-opened,heritage-data.ts behzad-miniature-c6.evidence.mineralogical,unverified,not-checked,no-analysis-on-record,not-applicable,material attribution uncited,W1-sequential-AI-review,cite analysis or mark as inspiration
W1-C0341,behzad-miniature-c6,mineralogical.chemicalFormula,(C₆H₁₀O₅)ₙ,chemistry,none-opened,-,unverified,not-checked,no-analysis-on-record,not-applicable,(C6H10O5)n cellulose repeat unit is textbook but no opened source,W1-sequential-AI-review,correct or remove
W1-C0342,behzad-miniature-c6,mineralogical.casNumber,9004-34-6,chemistry-identifier,S005,CAS 9004-34-6,unverified,not-found-in-S005,not-applicable,not-applicable,check digit valid; not present in S005,W1-sequential-AI-review,remove or replace with the CAS RN of the named substance
W1-C0343,behzad-miniature-c6,mineralogical.historicalManuscriptRef,رسالات کهن رنگرزی سنتی و صنعتی ایران زمین,documentary-reference,none-opened,no page/folio/edition given,unverified,placeholder,not-applicable,not-applicable,"placeholder phrase (""old treatises of Iranian dyeing""): no identifiable work",W1-sequential-AI-review,remove placeholder
W1-C0344,behzad-miniature-c6,mineralogical.traditionalExtraction,استخراج سنتی از منابع گیاهی و معدنی ایران بر اساس رسالات خطی تذهیب و رنگرزی,craft-process,none-opened,-,unverified,placeholder,not-applicable,not-applicable,template sentence repeated for 60 records,W1-sequential-AI-review,cite or remove
W1-C0345,behzad-miniature-c6,mineralogical.crystalSystem,کریستالین بومی فلات ایران,mineralogy,S007,-,contradicted,type-error,not-applicable,not-applicable,value is not a crystal system (type error),W1-sequential-AI-review,remove or use a real crystal system
W1-C0346,behzad-miniature-c6,geoSpatial.originSite,Iranian Plateau Heritage Sites | فلات ایران، مراکز سنتی هنر و معماری,geography,none-opened,-,unverified,placeholder,not-applicable,not-applicable,non-specific placeholder site,W1-sequential-AI-review,name a specific site or remove
W1-C0347,behzad-miniature-c6,geoSpatial.coordinates,"34.9279,55.188,1400",geography,S007,analyze-data.out.json syntheticPlateauPattern,contradicted,synthetic-value,not-applicable,not-applicable,"synthetic: lat = 32.4279 + 0.5*i, lng = 53.688 + 0.3*i, alt 1400; the same six points are reused by 10 palettes regardless of region (Gulf, Caspian, Khorasan, Shiraz); conflicting legacy geo 39.6542,66.9597 is 1165.14 km away",W1-sequential-AI-review,remove or replace with sourced coordinates
W1-C0348,behzad-miniature-c6,geoSpatial.unescoHeritageRef,ثبت میراث فرهنگی ملموس و ناملموس یونسکو,heritage-designation,none-opened,-,unverified,placeholder,not-applicable,not-applicable,non-specific or not checkable,W1-sequential-AI-review,remove generic UNESCO wording
W1-C0349,behzad-miniature-c6,geo (legacy alternative) latitude/longitude + unescoSiteId,"کارگاه‌های کاغذسازی سمرقند و هرات | 39.6542,66.9597,710 | Samarkand - Crossroad of Cultures",geography,S003,ref_no 603,partially-supported,checked-against-S003,not-applicable,not-applicable,3.80 km from WHC 603 (Samarkand - Crossroad of Cultures) reference point; retained as unresolved conflict by palettes.ts,W1-sequential-AI-review,resolve conflict with a cited source
W1-C0350,behzad-miniature-c6,spectral.peakWavelengthNm,607 nm (dominant 607 nm),spectral,S007,palettes.ts provenance.spectralStatus,illustrative,not-applicable,not-measured (measuredSpectra=0),not-applicable,peak equals dominant wavelength (template),W1-sequential-AI-review,keep labelled illustrative
W1-C0351,behzad-miniature-c6,historicalContextFa,بستر صیقل‌خورده با عقیق کاغذ سمرقندی برای نگارگری ظریف,cultural-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,uncited,W1-sequential-AI-review,cite or remove
W1-C0352,behzad-miniature-c6,artMovement,نسخه‌نویسی و کتاب‌آرایی کلاسیک,art-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,uncited attribution,W1-sequential-AI-review,cite
W1-C0353,behzad-miniature-c6,chemical.molarMass (raw; dropped by normaliser),162.14 g/mol,chemistry-arithmetic,S005;S006,molar-mass-check.out.tsv,partially-supported,arithmetic-check,not-applicable,not-applicable,162.14 is the anhydroglucose repeat unit of a polymer (arithmetic consistency only; not evidence the material is present),W1-sequential-AI-review,drop from source data (already excluded from normalised output)
W1-C0354,nomadic-rugs-c1,hex,#A81C07,color-value,S002,"S002 ""Rufous""",designer-choice,exact-match-in-modern-color-list,none-on-record (measuredSpectra=0),designer-choice,HEX identical to a modern named-color list entry; suggests digital-list origin rather than material measurement,W1-sequential-AI-review,"label as designer choice; if derived from a named-color list, say so"
W1-C0355,nomadic-rugs-c1,nameEn,Madder Root Red,naming,S002,"S002 ""Rufous""",illustrative,pair-found-in-modern-list,not-applicable,designer-choice,modern list entry is not evidence of historical use,W1-sequential-AI-review,keep as label; avoid implying historical name
W1-C0356,nomadic-rugs-c1,nameFa,قرمز روناسی ناب (Madder Root),naming,none,-,unverified,authenticity-adjective-unsupported,not-applicable,designer-choice,"name asserts authenticity/purity (""اصیل""/""ناب"")",W1-sequential-AI-review,drop authenticity adjective
W1-C0357,nomadic-rugs-c1,meaningFa,رنگ قرمز عمیق حاصل از گیاه روناس با دندانه‌دادن سنتی,cultural-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,cultural/material assertion with no citation,W1-sequential-AI-review,hedge or cite
